TestIndex,UserAvgRating,BusinessAverageStars,NearestUserAverageStars,ReviewCategoryAverageStars,y
113,3.93,4,4.00,4.148019,NULL
114,3.1,4,4.00,4.148019,NULL
115,4.43,4,4.00,4.148019,NULL
116,3.4,3.5,3.50,3.355911,NULL
117,3.98,3.5,3.50,3.355911,NULL
118,4.36,4,4.00,4.148019,NULL
119,4.67,4,4.00,4.148019,NULL
120,4.09,4,4.00,4.148019,NULL
121,3.64,4,4.00,4.148019,NULL
122,3.43,3,3.00,2.367459,NULL
123,4.07,4,4.00,4.148019,NULL
124,3.63,4,4.00,4.148019,NULL
125,3.18,4,4.00,4.148019,NULL
126,2.6,3.5,3.50,3.355911,NULL
127,4,4,4.00,4.148019,NULL
128,3.84,4,4.00,4.148019,NULL
129,3.39,4.5,4.50,4.760267,NULL
130,4.62,4,4.00,4.148019,NULL
131,4.31,4,4.00,4.148019,NULL
132,3.95,4.5,4.50,4.760267,NULL
133,3.95,4,4.00,4.148019,NULL
134,4.25,4,4.00,4.148019,NULL
135,3.15,3.5,3.50,3.355911,NULL
136,2.66,3.5,3.50,3.355911,NULL
137,5,4.5,4.50,4.760267,NULL
138,4.34,4,4.00,4.148019,NULL
139,3.75,4,4.00,4.148019,NULL
140,3.4,3,3.00,2.367459,NULL
141,5,4,4.00,4.148019,NULL
142,4.75,4,4.00,4.148019,NULL
143,3.5,4,4.00,4.148019,NULL
144,3.81,4,4.00,4.148019,NULL
145,3.43,3.5,3.50,3.355911,NULL
146,3.84,4,4.00,4.148019,NULL
147,4.12,4,4.00,4.148019,NULL
148,3.66,4,4.00,4.148019,NULL
149,4.12,5,5.00,4.999613,NULL
150,3.64,3.5,3.50,3.355911,NULL
151,3,4,4.00,4.148019,NULL
152,3.15,4,4.00,4.148019,NULL
153,4.13,4,4.00,4.148019,NULL
154,3.36,4,4.00,4.148019,NULL
155,4.18,4,4.00,4.148019,NULL
156,4.35,4.5,4.50,4.760267,NULL
157,3.62,4.5,4.50,4.760267,NULL
158,4.44,3.5,3.50,3.355911,NULL
159,4,4,4.00,4.148019,NULL
160,4.03,4,4.00,4.148019,NULL
161,3.8,3,3.00,2.367459,NULL
162,3.65,3.5,3.50,3.355911,NULL
163,3.62,3.5,3.50,3.355911,NULL
164,4.22,4.5,4.50,4.760267,NULL
165,3.75,4,4.00,4.148019,NULL
166,3.8,3.5,3.50,3.355911,NULL
167,3.95,4,4.00,4.148019,NULL
168,4.06,4,4.00,4.148019,NULL
169,4.04,3.5,3.50,3.355911,NULL
170,4.64,4,4.00,4.148019,NULL
171,3.77,4,4.00,4.148019,NULL
172,5,4.5,4.50,4.760267,NULL
173,3.68,3.5,3.50,3.355911,NULL
174,4.35,3.5,3.50,3.355911,NULL
175,4.04,4,4.00,4.148019,NULL
176,4.24,3,3.00,2.367459,NULL
177,3.76,4,4.00,4.148019,NULL
178,3.9,3.5,3.50,3.355911,NULL
179,3.59,3,3.00,2.367459,NULL
180,3.87,4,4.00,4.148019,NULL
181,3.6,3.5,3.50,3.355911,NULL
182,4.38,4.5,4.50,4.760267,NULL
183,3.89,3.5,3.50,3.355911,NULL
184,4.13,4.5,4.50,4.760267,NULL
185,3.36,4.5,4.50,4.760267,NULL
186,5,4,4.00,4.148019,NULL
187,3.84,5,5.00,4.999613,NULL
188,2.99,3,3.00,2.367459,NULL
189,4.59,4.5,4.50,4.760267,NULL
190,2.95,3.5,3.50,3.355911,NULL
191,5,5,5.00,4.999613,NULL
192,3.93,4,4.00,4.148019,NULL
193,4.21,4,4.00,4.148019,NULL
194,2.42,4.5,4.50,4.760267,NULL
195,3.7,4,4.00,4.148019,NULL
196,3.5,4.5,4.50,4.760267,NULL
197,3.07,3.5,3.50,3.355911,NULL
198,4.2,4,4.00,4.148019,NULL
199,3.48,4,4.00,4.148019,NULL
200,3.31,3,3.00,2.367459,NULL
201,3.63,4,4.00,4.148019,NULL
202,3.41,4.5,4.50,4.760267,NULL
203,4.69,4,4.00,4.148019,NULL
204,5,4.5,4.50,4.760267,NULL
205,4.7,4.5,4.50,4.760267,NULL
206,4.14,4,4.00,4.148019,NULL
207,4.29,3.5,3.50,3.355911,NULL
208,3.93,4,4.00,4.148019,NULL
209,2.65,4,4.00,4.148019,NULL
210,4.42,4,4.00,4.148019,NULL
211,4.2,3.5,3.50,3.355911,NULL
212,3.52,3.5,3.50,3.355911,NULL
213,4.24,3.5,3.50,3.355911,NULL
214,3.69,4,4.00,4.148019,NULL
215,3.89,2.5,2.50,1.685483,NULL
216,3.93,4,4.00,4.148019,NULL
217,3,4,4.00,4.148019,NULL
218,4.06,4,4.00,4.148019,NULL
219,4.92,4.5,4.50,4.760267,NULL
220,4.07,3.5,3.50,3.355911,NULL
221,3.25,4,4.00,4.148019,NULL
222,3.75,4,4.00,4.148019,NULL
223,3.74,3.5,3.50,3.355911,NULL
224,3.1,3.5,3.50,3.355911,NULL
225,3.88,4,4.00,4.148019,NULL
226,4.35,4.5,4.50,4.760267,NULL
227,3.84,4.5,4.50,4.760267,NULL
228,4.1,3,3.00,2.367459,NULL
229,5,4.5,4.50,4.760267,NULL
230,3.31,3,3.00,2.367459,NULL
231,4.19,3.5,3.50,3.355911,NULL
232,4.2,4,4.00,4.148019,NULL
233,4.7,4,4.00,4.148019,NULL
234,4.69,4.5,4.50,4.760267,NULL
235,3.93,3,3.00,2.367459,NULL
236,3,3.5,3.50,3.355911,NULL
237,3.47,2.5,2.50,1.685483,NULL
238,4.28,3.5,3.50,3.355911,NULL
239,4.01,4,4.00,4.148019,NULL
240,3.81,3,3.00,2.367459,NULL
241,3.71,3.5,3.50,3.355911,NULL
242,4.19,4,4.00,4.148019,NULL
243,3.68,4,4.00,4.148019,NULL
244,3.49,4,4.00,4.148019,NULL
245,4.53,5,5.00,4.999613,NULL
246,4.6,3.5,3.50,3.355911,NULL
247,3.7,3,3.00,2.367459,NULL
248,3.62,4.5,4.50,4.760267,NULL
249,4,3,3.00,2.367459,NULL
250,4.13,4,4.00,4.148019,NULL
251,4.2,2.5,2.50,1.685483,NULL
252,4.5,4.5,4.50,4.760267,NULL
253,3,4.5,4.50,4.760267,NULL
254,3.24,1.5,1.50,1.131262,NULL
255,3.75,4.5,4.50,4.760267,NULL
256,4.97,4,4.00,4.148019,NULL
257,3.19,4,4.00,4.148019,NULL
258,4.5,4.5,4.50,4.760267,NULL
259,3.65,4,4.00,4.148019,NULL
260,3.7,4,4.00,4.148019,NULL
261,3.81,4.5,4.50,4.760267,NULL
262,3.36,4,4.00,4.148019,NULL
263,3.86,3.5,3.50,3.355911,NULL
264,3.87,4,4.00,4.148019,NULL
265,3.46,3,3.00,2.367459,NULL
266,4.05,4.5,4.50,4.760267,NULL
267,3.91,3,3.00,2.367459,NULL
268,3.57,4,4.00,4.148019,NULL
269,4.35,4.5,4.50,4.760267,NULL
270,3.36,3.5,3.50,3.355911,NULL
271,4.26,4,4.00,4.148019,NULL
272,4.13,3,3.00,2.367459,NULL
273,3.99,4,4.00,4.148019,NULL
274,4,4.5,4.50,4.760267,NULL
275,5,4.5,4.50,4.760267,NULL
276,3.67,3.5,3.50,3.355911,NULL
277,4.79,4,4.00,4.148019,NULL
278,5,3,3.00,2.367459,NULL
279,3.69,4,4.00,4.148019,NULL
280,3.93,3.5,3.50,3.355911,NULL
281,3.82,3.5,3.50,3.355911,NULL
282,3.95,4,4.00,4.148019,NULL
283,4.26,4,4.00,4.148019,NULL
284,4.47,4.5,4.50,4.760267,NULL
285,3.36,3.5,3.50,3.355911,NULL
286,4.22,3,3.00,2.367459,NULL
287,3.9,3,3.00,2.367459,NULL
288,4.01,3,3.00,2.367459,NULL
289,3.56,4,4.00,4.148019,NULL
290,3.72,3.5,3.50,3.355911,NULL
291,1.77,3.5,3.50,3.355911,NULL
292,3.85,4.5,4.50,4.760267,NULL
293,3.36,4.5,4.50,4.760267,NULL
294,3.23,3.5,3.50,3.355911,NULL
295,3.32,3.5,3.50,3.355911,NULL
296,4.75,3,3.00,2.367459,NULL
297,3.77,4,4.00,4.148019,NULL
298,3.92,4,4.00,4.148019,NULL
299,4.44,4.5,4.50,4.760267,NULL
300,3.89,4,4.00,4.148019,NULL
301,4.18,4.5,4.50,4.760267,NULL
302,3.43,4.5,4.50,4.760267,NULL
303,3.86,3,3.00,2.367459,NULL
304,4.26,4,4.00,4.148019,NULL
305,3.61,4,4.00,4.148019,NULL
306,4.04,4.5,4.50,4.760267,NULL
307,4.18,4.5,4.50,4.760267,NULL
308,3.77,2.5,2.50,1.685483,NULL
309,4.42,4.5,4.50,4.760267,NULL
310,4.19,4,4.00,4.148019,NULL
311,3.4,4,4.00,4.148019,NULL
312,4.21,3,3.00,2.367459,NULL
313,4,3.5,3.50,3.355911,NULL
314,3.28,4,4.00,4.148019,NULL
315,3.71,4,4.00,4.148019,NULL
316,4.44,5,5.00,4.999613,NULL
317,3.33,4.5,4.50,4.760267,NULL
318,2.93,3.5,3.50,3.355911,NULL
319,3.81,4,4.00,4.148019,NULL
320,4,3.5,3.50,3.355911,NULL
321,4.21,3,3.00,2.367459,NULL
322,4.34,4.5,4.50,4.760267,NULL
323,3.68,5,5.00,4.999613,NULL
324,3.93,3.5,3.50,3.355911,NULL
325,4,4,4.00,4.148019,NULL
326,4.27,4.5,4.50,4.760267,NULL
327,3.8,4,4.00,4.148019,NULL
328,3.97,3.5,3.50,3.355911,NULL
329,3.57,4,4.00,4.148019,NULL
330,5,4,4.00,4.148019,NULL
331,3.55,2,2.00,1.396213,NULL
332,3.78,4.5,4.50,4.760267,NULL
333,3.68,4,4.00,4.148019,NULL
334,3,5,5.00,4.999613,NULL
335,3.35,3,3.00,2.367459,NULL
336,3.8,2.5,2.50,1.685483,NULL
337,3.57,4.5,4.50,4.760267,NULL
338,3.9,4.5,4.50,4.760267,NULL
339,3.98,4,4.00,4.148019,NULL
340,4.12,4.5,4.50,4.760267,NULL
341,2.89,4,4.00,4.148019,NULL
342,3.86,4,4.00,4.148019,NULL
343,4.33,3,3.00,2.367459,NULL
344,3.74,3.5,3.50,3.355911,NULL
345,4.29,4.5,4.50,4.760267,NULL
346,3.17,4,4.00,4.148019,NULL
347,3.19,4,4.00,4.148019,NULL
348,3.3,4,4.00,4.148019,NULL
349,3.89,3,3.00,2.367459,NULL
350,3.86,4.5,4.50,4.760267,NULL
351,3.53,3.5,3.50,3.355911,NULL
352,2.91,4,4.00,4.148019,NULL
353,4.18,4,4.00,4.148019,NULL
354,1.43,4,4.00,4.148019,NULL
355,3.71,4,4.00,4.148019,NULL
356,4.22,4.5,4.50,4.760267,NULL
357,5,4,4.00,4.148019,NULL
358,2.58,4,4.00,4.148019,NULL
359,3.63,4,4.00,4.148019,NULL
360,3.18,3.5,3.50,3.355911,NULL
361,3.73,4.5,4.50,4.760267,NULL
362,3.46,4.5,4.50,4.760267,NULL
363,4.08,4,4.00,4.148019,NULL
364,5,5,5.00,4.999613,NULL
365,5,4.5,4.50,4.760267,NULL
366,4.09,4.5,4.50,4.760267,NULL
367,2.89,3.5,3.50,3.355911,NULL
368,2.88,3.5,3.50,3.355911,NULL
369,4,4,4.00,4.148019,NULL
370,3.6,3.5,3.50,3.355911,NULL
371,3.73,3,3.00,2.367459,NULL
372,3.42,4.5,4.50,4.760267,NULL
373,3.6,3.5,3.50,3.355911,NULL
374,4.98,4.5,4.50,4.760267,NULL
375,3.07,4,4.00,4.148019,NULL
376,3.83,4,4.00,4.148019,NULL
377,4.56,4.5,4.50,4.760267,NULL
378,4.46,4,4.00,4.148019,NULL
379,4.1,3,3.00,2.367459,NULL
380,3.46,4,4.00,4.148019,NULL
381,3.73,4,4.00,4.148019,NULL
382,4.55,3,3.00,2.367459,NULL
383,4.02,3.5,3.50,3.355911,NULL
384,3.64,4,4.00,4.148019,NULL
385,3.34,4.5,4.50,4.760267,NULL
386,2.3,4.5,4.50,4.760267,NULL
387,3.34,4,4.00,4.148019,NULL
388,3.93,4.5,4.50,4.760267,NULL
389,4.14,4,4.00,4.148019,NULL
390,3.87,4,4.00,4.148019,NULL
391,4.24,3.5,3.50,3.355911,NULL
392,4.04,3.5,3.50,3.355911,NULL
393,4.09,4.5,4.50,4.760267,NULL
394,4.6,4,4.00,4.148019,NULL
395,4.8,4.5,4.50,4.760267,NULL
396,4.06,3.5,3.50,3.355911,NULL
397,3.61,4,4.00,4.148019,NULL
398,4.25,3.5,3.50,3.355911,NULL
399,3.67,3,3.00,2.367459,NULL
400,3.88,3.5,3.50,3.355911,NULL
401,3,3.5,3.50,3.355911,NULL
402,3.43,4.5,4.50,4.760267,NULL
403,3.43,3,3.00,2.367459,NULL
404,3.5,4,4.00,4.148019,NULL
405,3.48,4,4.00,4.148019,NULL
406,3.48,4,4.00,4.148019,NULL
407,3.95,4,4.00,4.148019,NULL
408,3.92,3.5,3.50,3.355911,NULL
409,4.02,4.5,4.50,4.760267,NULL
410,3.6,4,4.00,4.148019,NULL
411,3.26,1.5,1.50,1.131262,NULL
412,3.69,5,5.00,4.999613,NULL
413,3.56,3.5,3.50,3.355911,NULL
414,4.18,4,4.00,4.148019,NULL
415,3.97,4,4.00,4.148019,NULL
416,3.4,4,4.00,4.148019,NULL
417,5,3,3.00,2.367459,NULL
418,4.67,3.5,3.50,3.355911,NULL
419,3.52,3,3.00,2.367459,NULL
420,4.17,4.5,4.50,4.760267,NULL
421,4.32,4.5,4.50,4.760267,NULL
422,1,3.5,3.50,3.355911,NULL
423,3.38,4,4.00,4.148019,NULL
424,3.92,4,4.00,4.148019,NULL
425,3.6,4.5,4.50,4.760267,NULL
426,4.11,4.5,4.50,4.760267,NULL
427,1,3.5,3.50,3.355911,NULL
428,4.44,4,4.00,4.148019,NULL
429,4.14,4,4.00,4.148019,NULL
430,3.61,2.5,2.50,1.685483,NULL
431,3.68,3.5,3.50,3.355911,NULL
432,3.55,4,4.00,4.148019,NULL
433,4.23,4,4.00,4.148019,NULL
434,2.63,4,4.00,4.148019,NULL
435,3.48,4,4.00,4.148019,NULL
436,2.79,3,3.00,2.367459,NULL
437,4.19,4,4.00,4.148019,NULL
438,3.29,3.5,3.50,3.355911,NULL
439,4,4,4.00,4.148019,NULL
440,4.16,4.5,4.50,4.760267,NULL
441,3.23,3,3.00,2.367459,NULL
442,2.33,4,4.00,4.148019,NULL
443,4.25,4.5,4.50,4.760267,NULL
444,4.07,4,4.00,4.148019,NULL
445,3.88,4.5,4.50,4.760267,NULL
446,3.57,4,4.00,4.148019,NULL
447,4.17,4.5,4.50,4.760267,NULL
448,4.35,4,4.00,4.148019,NULL
449,2.73,4,4.00,4.148019,NULL
450,3.82,3.5,3.50,3.355911,NULL
451,1.86,4.5,4.50,4.760267,NULL
452,4.12,4,4.00,4.148019,NULL
453,3.89,3,3.00,2.367459,NULL
454,3.85,4,4.00,4.148019,NULL
455,3.98,4,4.00,4.148019,NULL
456,4.01,5,5.00,4.999613,NULL
457,4.06,4.5,4.50,4.760267,NULL
458,3.64,3,3.00,2.367459,NULL
459,2.47,4,4.00,4.148019,NULL
460,4.39,4,4.00,4.148019,NULL
461,3.36,4.5,4.50,4.760267,NULL
462,4.49,4,4.00,4.148019,NULL
463,4.06,4,4.00,4.148019,NULL
464,3.83,3.5,3.50,3.355911,NULL
465,3.76,4,4.00,4.148019,NULL
466,4.85,3.5,3.50,3.355911,NULL
467,3,3.5,3.50,3.355911,NULL
468,4.83,4.5,4.50,4.760267,NULL
469,3.85,4.5,4.50,4.760267,NULL
470,3.15,3.5,3.50,3.355911,NULL
471,2.4,4.5,4.50,4.760267,NULL
472,3,4,4.00,4.148019,NULL
473,4.26,3,3.00,2.367459,NULL
474,4.41,3.5,3.50,3.355911,NULL
475,4.2,4,4.00,4.148019,NULL
476,3.63,4.5,4.50,4.760267,NULL
477,3.71,3,3.00,2.367459,NULL
478,4.09,4,4.00,4.148019,NULL
479,4.33,3.5,3.50,3.355911,NULL
480,2.75,3,3.00,2.367459,NULL
481,2,3.5,3.50,3.355911,NULL
482,3.71,4,4.00,4.148019,NULL
483,4.45,4,4.00,4.148019,NULL
484,3.46,4.5,4.50,4.760267,NULL
485,4.36,4,4.00,4.148019,NULL
486,1.85,3,3.00,2.367459,NULL
487,3.6,4,4.00,4.148019,NULL
488,4.67,4,4.00,4.148019,NULL
489,4.28,4.5,4.50,4.760267,NULL
490,4.56,3.5,3.50,3.355911,NULL
491,3.82,4.5,4.50,4.760267,NULL
492,4,3.5,3.50,3.355911,NULL
493,4.21,4.5,4.50,4.760267,NULL
494,3.8,4.5,4.50,4.760267,NULL
495,3.86,4,4.00,4.148019,NULL
496,3.71,4.5,4.50,4.760267,NULL
497,4.57,3.5,3.50,3.355911,NULL
498,3.86,4.5,4.50,4.760267,NULL
499,4.73,4,4.00,4.148019,NULL
500,3.31,4,4.00,4.148019,NULL
501,3.42,4.5,4.50,4.760267,NULL
502,3.88,3.5,3.50,3.355911,NULL
503,4.4,3.5,3.50,3.355911,NULL
504,4.02,3.5,3.50,3.355911,NULL
505,4.69,5,5.00,4.999613,NULL
506,5,3.5,3.50,3.355911,NULL
507,2.9,4.5,4.50,4.760267,NULL
508,3.79,4,4.00,4.148019,NULL
509,5,4.5,4.50,4.760267,NULL
510,3.45,4,4.00,4.148019,NULL
511,4.82,4,4.00,4.148019,NULL
512,3.64,4,4.00,4.148019,NULL
513,3.64,4,4.00,4.148019,NULL
514,3.77,3,3.00,2.367459,NULL
515,3.91,3,3.00,2.367459,NULL
516,2.14,3,3.00,2.367459,NULL
517,4.17,4,4.00,4.148019,NULL
518,2.67,4,4.00,4.148019,NULL
519,5,3.5,3.50,3.355911,NULL
520,4.72,4,4.00,4.148019,NULL
521,3.72,3,3.00,2.367459,NULL
522,3.85,4,4.00,4.148019,NULL
523,4.13,3,3.00,2.367459,NULL
524,2.82,3.5,3.50,3.355911,NULL
525,3.81,3.5,3.50,3.355911,NULL
526,4.15,4.5,4.50,4.760267,NULL
527,3.11,4,4.00,4.148019,NULL
528,4.44,4,4.00,4.148019,NULL
529,3.08,5,5.00,4.999613,NULL
530,3.51,3.5,3.50,3.355911,NULL
531,3.84,4,4.00,4.148019,NULL
532,4.18,4,4.00,4.148019,NULL
533,4.39,4.5,4.50,4.760267,NULL
534,4.38,4,4.00,4.148019,NULL
535,4.11,4,4.00,4.148019,NULL
536,3.91,3,3.00,2.367459,NULL
537,3,3.5,3.50,3.355911,NULL
538,4.65,4,4.00,4.148019,NULL
539,5,2.5,2.50,1.685483,NULL
540,3.74,1.5,1.50,1.131262,NULL
541,4.09,3.5,3.50,3.355911,NULL
542,3.58,3,3.00,2.367459,NULL
543,2.8,2.5,2.50,1.685483,NULL
544,3.5,4,4.00,4.148019,NULL
545,4.69,4,4.00,4.148019,NULL
546,4.31,4.5,4.50,4.760267,NULL
547,5,4.5,4.50,4.760267,NULL
548,3.96,4,4.00,4.148019,NULL
549,3.21,4,4.00,4.148019,NULL
550,3.89,4.5,4.50,4.760267,NULL
551,3.69,5,5.00,4.999613,NULL
552,4.11,3.5,3.50,3.355911,NULL
553,3.77,4,4.00,4.148019,NULL
554,3.48,3.5,3.50,3.355911,NULL
555,3.89,4,4.00,4.148019,NULL
556,3.5,4,4.00,4.148019,NULL
557,3.71,4.5,4.50,4.760267,NULL
558,3.81,4,4.00,4.148019,NULL
559,4.56,4.5,4.50,4.760267,NULL
560,3.92,4.5,4.50,4.760267,NULL
561,4,4,4.00,4.148019,NULL
562,5,4.5,4.50,4.760267,NULL
563,3.36,4.5,4.50,4.760267,NULL
564,4.41,4,4.00,4.148019,NULL
565,4.6,4.5,4.50,4.760267,NULL
566,4.12,4.5,4.50,4.760267,NULL
567,3.92,4,4.00,4.148019,NULL
568,4.35,4.5,4.50,4.760267,NULL
569,3.94,4,4.00,4.148019,NULL
570,3.34,4,4.00,4.148019,NULL
571,1,4,4.00,4.148019,NULL
572,3.68,2.5,2.50,1.685483,NULL
573,3.15,3.5,3.50,3.355911,NULL
574,3.36,4,4.00,4.148019,NULL
575,3.13,2.5,2.50,1.685483,NULL
576,3.52,3,3.00,2.367459,NULL
577,3.78,4.5,4.50,4.760267,NULL
578,2,1.5,1.50,1.131262,NULL
579,4.33,4,4.00,4.148019,NULL
580,3.91,4,4.00,4.148019,NULL
581,4.43,4.5,4.50,4.760267,NULL
582,4.42,3.5,3.50,3.355911,NULL
583,3.36,4,4.00,4.148019,NULL
584,2.88,3,3.00,2.367459,NULL
585,3.84,4.5,4.50,4.760267,NULL
586,3.78,4.5,4.50,4.760267,NULL
587,4.12,4.5,4.50,4.760267,NULL
588,3.81,4,4.00,4.148019,NULL
589,3.38,4.5,4.50,4.760267,NULL
590,3.73,4.5,4.50,4.760267,NULL
591,2.67,3.5,3.50,3.355911,NULL
592,4.29,5,5.00,4.999613,NULL
593,3.46,3.5,3.50,3.355911,NULL
594,3.8,4,4.00,4.148019,NULL
595,3.66,4,4.00,4.148019,NULL
596,4.18,4,4.00,4.148019,NULL
597,2.91,3,3.00,2.367459,NULL
598,2.88,4.5,4.50,4.760267,NULL
599,3.97,4,4.00,4.148019,NULL
600,3.47,4,4.00,4.148019,NULL
601,1,1.5,1.50,1.131262,NULL
602,4.01,4,4.00,4.148019,NULL
603,3.67,4,4.00,4.148019,NULL
604,4.35,4,4.00,4.148019,NULL
605,3.87,4.5,4.50,4.760267,NULL
606,2.24,4,4.00,4.148019,NULL
607,3.68,3.5,3.50,3.355911,NULL
608,4.41,3.5,3.50,3.355911,NULL
609,3.47,3.5,3.50,3.355911,NULL
610,2.59,3,3.00,2.367459,NULL
611,3,4,4.00,4.148019,NULL
612,3.92,5,5.00,4.999613,NULL
613,3.93,4,4.00,4.148019,NULL
614,4.75,2.5,2.50,1.685483,NULL
615,4.38,4,4.00,4.148019,NULL
616,4.1,4,4.00,4.148019,NULL
617,4.55,4,4.00,4.148019,NULL
618,4,4,4.00,4.148019,NULL
619,4.01,3.5,3.50,3.355911,NULL
620,3.89,3.5,3.50,3.355911,NULL
621,4.61,3,3.00,2.367459,NULL
622,4.96,4,4.00,4.148019,NULL
623,3.67,3.5,3.50,3.355911,NULL
624,3,3.5,3.50,3.355911,NULL
625,4.3,5,5.00,4.999613,NULL
626,3.67,3,3.00,2.367459,NULL
627,3.43,4,4.00,4.148019,NULL
628,3.57,4,4.00,4.148019,NULL
629,4.05,4,4.00,4.148019,NULL
630,3.57,4.5,4.50,4.760267,NULL
631,1.92,2.5,2.50,1.685483,NULL
632,4.48,2.5,2.50,1.685483,NULL
633,3.13,4,4.00,4.148019,NULL
634,3.91,4,4.00,4.148019,NULL
635,4.29,5,5.00,4.999613,NULL
636,5,4,4.00,4.148019,NULL
637,3.13,3.5,3.50,3.355911,NULL
638,3.67,3.5,3.50,3.355911,NULL
